Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_fails	Cutadapt_mqc-generalstats-percent_trimmed	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length
Sample_IPO3916_A6_R2	59.57404752272318	41.66666666666667	8.440809168318875	7400726.0	40.0	126.0
Sample_IPO3916_A7_R1	56.80633964160734	50.0	6.802182035947306	8561045.0	37.0	126.0
Sample_IPO3916_A7_R2	56.32607307340531	58.333333333333336	7.384764916187773	8561045.0	37.0	126.0
Sample_IPO3916_A8_R1	51.06049281862885	25.0	5.238552206965583	8915546.0	38.0	126.0
Sample_IPO3916_A8_R2	50.31319138999378	33.33333333333333	6.15907600014911	8915546.0	38.0	126.0
Sample_IPO3916_A9_R1	53.04926113103406	25.0	5.186559066568701	11442652.0	38.0	126.0
Sample_IPO3916_A9_R2	52.87014707366451	25.0	5.835454039961177	11442652.0	38.0	126.0
Sample_IPO3916_B10_R1	45.54570768089491	25.0	6.250303566580939	11946596.0	37.0	126.0
Sample_IPO3916_B10_R2	45.356186171878946	33.33333333333333	6.921346080241217	11946596.0	37.0	126.0
Sample_IPO3916_B11_R1	55.71980825723017	25.0	4.922215152064665	8042523.0	36.0	126.0
Sample_IPO3916_B11_R2	55.347185703097594	25.0	5.537344418072518	8042523.0	36.0	126.0
Sample_IPO3916_B12_R1	51.83354227242782	25.0	5.0489918645810015	13154160.0	37.0	126.0
Sample_IPO3916_B12_R2	51.84105246241964	25.0	5.625723773689892	13154160.0	37.0	126.0
Sample_IPO3916_B1_R1	80.44359104917005	41.66666666666667	5.669477452279685	15607177.0	39.0	126.0
Sample_IPO3916_B1_R2	79.81439163688947	41.66666666666667	6.595584249070206	15607177.0	39.0	126.0
Sample_IPO3916_B2_R1	62.058184647874356	25.0	4.955377520493522	7673805.0	38.0	126.0
Sample_IPO3916_B2_R2	60.9617002202761	33.33333333333333	6.183580333685789	7673805.0	38.0	126.0
Sample_IPO3916_B3_R1	52.20017490491665	33.33333333333333	11.065185876079687	9458178.0	38.0	126.0
Sample_IPO3916_B3_R2	52.20856379358513	41.66666666666667	11.538631369073341	9458178.0	38.0	126.0
Sample_IPO3916_B4_R1	46.99504323176538	25.0	6.742677933044898	4279067.0	39.0	126.0
Sample_IPO3916_B4_R2	46.21484988503589	33.33333333333333	7.686762053800476	4279067.0	39.0	126.0
Sample_IPO3916_B5_R1	58.31923964928843	25.0	5.24065234997906	3944306.0	39.0	126.0
Sample_IPO3916_B5_R2	57.549094177982	33.33333333333333	6.135826425263908	3944306.0	39.0	126.0
Sample_IPO3916_B6_R1	45.07954522277071	33.33333333333333	7.248196807783779	3731361.0	37.0	126.0
Sample_IPO3916_B6_R2	44.70465324557633	41.66666666666667	7.734584295241385	3731361.0	37.0	126.0
Sample_IPO3916_B7_R1	51.604759018388386	50.0	6.680075792787203	6367838.0	37.0	126.0
Sample_IPO3916_B7_R2	51.49427167641126	58.333333333333336	6.9938000486641965	6367838.0	37.0	126.0
Sample_IPO3916_B8_R1	48.082077614165605	16.666666666666664	3.614441019588025	4622416.0	38.0	126.0
Sample_IPO3916_B8_R2	48.003264260250475	16.666666666666664	3.9307819815026437	4622416.0	38.0	126.0
