Sample_IPO3916_B11_R1	408.0	295.0	434.0	680.0	1057.0	1673.0	2238.0	2937.0	3770.0	4381.0	5505.0	6007.0	6817.0	7328.0	8157.0	9118.0	9637.0	10822.0	12388.0	14325.0	16913.0	21139.0	27519.0	37120.0	49486.0	65152.0	85889.0	111593.0	145833.0	193052.0	263218.0	380965.0	614826.0	1357952.0	4563889.0
Sample_IPO3916_B11_R2	26360.0	6361.0	5467.0	4854.0	4538.0	4331.0	4504.0	5035.0	5444.0	5936.0	6563.0	7056.0	7718.0	8451.0	9348.0	10501.0	11589.0	13466.0	15792.0	18713.0	23001.0	30117.0	38496.0	48215.0	59474.0	73219.0	89601.0	110540.0	137054.0	175686.0	233910.0	333182.0	532178.0	1151410.0	4824413.0
Sample_IPO3916_B12_R1	602.0	418.0	597.0	947.0	1565.0	2166.0	2608.0	3173.0	3972.0	4603.0	5488.0	6009.0	6827.0	7419.0	8359.0	9044.0	10533.0	11860.0	14222.0	17149.0	21237.0	27367.0	36466.0	50773.0	69584.0	94375.0	124965.0	166525.0	219100.0	295784.0	415812.0	613794.0	1027496.0	2348363.0	7524958.0
Sample_IPO3916_B12_R2	43746.0	10083.0	8182.0	7009.0	6018.0	5383.0	5279.0	5625.0	6017.0	6222.0	6777.0	7427.0	8236.0	9050.0	10489.0	11877.0	13759.0	16312.0	19574.0	23928.0	30303.0	40465.0	52923.0	67370.0	84064.0	105024.0	129472.0	161486.0	204702.0	266578.0	360885.0	525003.0	862139.0	1928384.0	8104369.0
Sample_IPO3916_B1_R1	742.0	448.0	700.0	1035.0	1737.0	2470.0	3105.0	3566.0	4386.0	5152.0	5676.0	6077.0	6944.0	7313.0	7956.0	8732.0	9697.0	11319.0	13337.0	16374.0	20122.0	26975.0	37608.0	53241.0	74806.0	101511.0	136207.0	180505.0	239798.0	326824.0	455630.0	670052.0	1110017.0	2594875.0	9462240.0
Sample_IPO3916_B1_R2	55372.0	14835.0	12899.0	11065.0	9360.0	8546.0	8379.0	8569.0	8619.0	9230.0	9930.0	10782.0	11745.0	13091.0	14667.0	16952.0	19832.0	23267.0	28002.0	34544.0	45011.0	61143.0	78852.0	99756.0	122887.0	149355.0	182530.0	224528.0	278059.0	357619.0	482624.0	688411.0	1117094.0	2441677.0	8947945.0
Sample_IPO3916_B2_R1	373.0	299.0	474.0	761.0	1205.0	1767.0	2099.0	2562.0	3112.0	3806.0	4195.0	4660.0	5280.0	5627.0	6373.0	6920.0	7730.0	8800.0	10354.0	12207.0	15146.0	18619.0	24850.0	33815.0	45617.0	60090.0	77707.0	101017.0	132204.0	175318.0	240729.0	348707.0	561794.0	1247912.0	4501676.0
Sample_IPO3916_B2_R2	34162.0	9680.0	8558.0	7345.0	6443.0	6013.0	6073.0	6257.0	6533.0	7001.0	7525.0	8118.0	8996.0	9895.0	11276.0	12646.0	14614.0	17071.0	19763.0	23807.0	29807.0	38645.0	49048.0	60324.0	72336.0	87402.0	104940.0	127916.0	158231.0	202461.0	271628.0	387777.0	621241.0	1289904.0	3940369.0
Sample_IPO3916_B3_R1	399.0	271.0	538.0	729.0	1392.0	1986.0	2764.0	3286.0	4102.0	5085.0	5791.0	6486.0	7291.0	8168.0	9241.0	10069.0	11119.0	12721.0	14423.0	16866.0	20411.0	25647.0	32950.0	43495.0	58026.0	76976.0	100755.0	132184.0	175349.0	237999.0	333307.0	482383.0	753929.0	1599449.0	5262591.0
Sample_IPO3916_B3_R2	26775.0	6965.0	6215.0	5448.0	5099.0	4803.0	5056.0	5571.0	6126.0	6545.0	6959.0	7610.0	8415.0	9278.0	10747.0	12428.0	14214.0	16711.0	19348.0	23042.0	29267.0	37053.0	46763.0	57859.0	70993.0	87574.0	107171.0	133907.0	170053.0	223712.0	307984.0	444737.0	709384.0	1465202.0	5359164.0
Sample_IPO3916_B4_R1	210.0	140.0	219.0	286.0	534.0	740.0	954.0	1180.0	1404.0	1765.0	2029.0	2357.0	2573.0	2793.0	3083.0	3425.0	3912.0	4314.0	5144.0	6095.0	7641.0	9474.0	12762.0	17388.0	23961.0	31850.0	42149.0	55466.0	73260.0	97344.0	135359.0	197434.0	321792.0	717671.0	2492359.0
Sample_IPO3916_B4_R2	17082.0	4116.0	3600.0	3100.0	2754.0	2498.0	2608.0	2701.0	2822.0	3074.0	3288.0	3580.0	3978.0	4322.0	5148.0	5780.0	6569.0	7817.0	9280.0	11263.0	14170.0	18753.0	23651.0	29701.0	36428.0	44275.0	53772.0	65549.0	82262.0	105634.0	142422.0	203808.0	325386.0	688984.0	2338892.0
Sample_IPO3916_B5_R1	206.0	154.0	192.0	312.0	508.0	740.0	909.0	1050.0	1279.0	1513.0	1678.0	1857.0	2204.0	2289.0	2477.0	2751.0	2994.0	3554.0	4196.0	5138.0	6365.0	8203.0	11001.0	15766.0	21595.0	29343.0	38759.0	52003.0	69496.0	93754.0	131714.0	196362.0	329680.0	759365.0	2144899.0
Sample_IPO3916_B5_R2	16957.0	3852.0	3219.0	2751.0	2221.0	2027.0	2102.0	2157.0	2262.0	2358.0	2484.0	2725.0	2963.0	3370.0	3809.0	4487.0	5032.0	6046.0	7109.0	8842.0	11294.0	15301.0	19233.0	24892.0	30512.0	37524.0	46237.0	57972.0	72674.0	94794.0	128998.0	188196.0	309323.0	670537.0	2150046.0
Sample_IPO3916_B6_R1	175.0	130.0	223.0	285.0	514.0	798.0	998.0	1339.0	1650.0	1983.0	2320.0	2744.0	2962.0	3387.0	3736.0	4063.0	4576.0	5075.0	5942.0	6919.0	8576.0	10691.0	14030.0	18654.0	24782.0	33016.0	44057.0	57416.0	75746.0	102313.0	141844.0	202954.0	322718.0	692767.0	1931978.0
