Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Sample_PRO1322_PlateA_C7_R1_val_1	1.8662657069323827	4.212664638929796
Sample_PRO1322_PlateA_C7_R2_val_2	1.7465971180445645	4.319919074030746
Sample_PRO1322_PlateA_C8_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_C8_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_C9_R1_val_1	0.7635424792462495	0.8314900969178394
Sample_PRO1322_PlateA_C9_R2_val_2	0.7236421282024326	0.8608900244529634
Sample_PRO1322_PlateA_D10_R1_val_1	0.11000203635039546	0.0
Sample_PRO1322_PlateA_D10_R2_val_2	0.11067173249325385	0.0
Sample_PRO1322_PlateA_D11_R1_val_1	33.33333333333333	66.66666666666666
Sample_PRO1322_PlateA_D11_R2_val_2	33.33333333333333	66.66666666666666
Sample_PRO1322_PlateA_D12_R1_val_1	50.0	50.0
Sample_PRO1322_PlateA_D12_R2_val_2	50.0	50.0
Sample_PRO1322_PlateA_D1_R1_val_1	0.4066455690361695	1.0087881364034532
Sample_PRO1322_PlateA_D1_R2_val_2	0.49627296932845527	1.2213025282826495
Sample_PRO1322_PlateA_D2_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_D2_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_D3_R1_val_1	0.33365442101772413	2.5892799965846267
Sample_PRO1322_PlateA_D3_R2_val_2	0.3097703379858272	2.4575057453741604
Sample_PRO1322_PlateA_D4_R1_val_1	1.6818667653551622	4.352093097585151
Sample_PRO1322_PlateA_D4_R2_val_2	1.798083467692889	4.433194078172677
Sample_PRO1322_PlateA_D5_R1_val_1	0.9971860952366626	1.0791940548863757
Sample_PRO1322_PlateA_D5_R2_val_2	1.0547071497584322	1.156347179793069
Sample_PRO1322_PlateA_D6_R1_val_1	0.5962687611348534	1.4462870352612234
Sample_PRO1322_PlateA_D6_R2_val_2	0.6314298689690859	1.260206069422381
Sample_PRO1322_PlateA_D7_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_D7_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_D8_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_D8_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_D9_R1_val_1	1.5831177507638843	2.0909562201519014
Sample_PRO1322_PlateA_D9_R2_val_2	1.5484821998562313	2.085830309626388
Sample_PRO1322_PlateA_E10_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_E10_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_E11_R1_val_1	0.20556610203503767	0.19440853880235792
Sample_PRO1322_PlateA_E11_R2_val_2	0.20880917130623627	0.19726524964052566
Sample_PRO1322_PlateA_E1_R1_val_1	0.1731278335817065	0.2080637310365858
Sample_PRO1322_PlateA_E1_R2_val_2	0.18280494096283428	0.12399608154141517
Sample_PRO1322_PlateA_E2_R1_val_1	0.46751601447432956	2.5184239725322386
Sample_PRO1322_PlateA_E2_R2_val_2	0.49176291011952933	2.7185053241277135
Sample_PRO1322_PlateA_E3_R1_val_1	0.36740600947310165	0.2870335402673875
Sample_PRO1322_PlateA_E3_R2_val_2	0.35028501914445503	0.3304488541055833
Sample_PRO1322_PlateA_E4_R1_val_1	1.7042433396575118	5.540517723050098
Sample_PRO1322_PlateA_E4_R2_val_2	1.982230900059558	6.4256110814345435
Sample_PRO1322_PlateA_E5_R1_val_1	0.18964674952865598	0.15533051890946983
Sample_PRO1322_PlateA_E5_R2_val_2	0.17818559904761538	0.16872426807866248
Sample_PRO1322_PlateA_E6_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_E6_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_E7_R1_val_1	0.1428995620221216	0.124341177343924
Sample_PRO1322_PlateA_E7_R2_val_2	0.12990869274738326	0.11877366194046468
Sample_PRO1322_PlateA_E8_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_E8_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_E9_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_E9_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_F10_R1_val_1	0.0	0.0
Sample_PRO1322_PlateA_F10_R2_val_2	0.0	0.0
Sample_PRO1322_PlateA_F11_R1_val_1	100.0	0.0
