Sample	FastQC_mqc-generalstats-percent_gc	Cutadapt_mqc-generalstats-percent_trimmed	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-total_sequences	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-avg_sequence_length
Sample_PRO1747_PlateG_B2_R2	32.0	1.674683819879957	66.95894511730481	17379264.0	25.0	126.0
Sample_PRO1747_PlateG_B3_R1	34.0	1.4658353771665027	39.51344444503386	13459095.0	25.0	124.8762875958599
Sample_PRO1747_PlateG_B3_R2	34.0	1.8511725448744618	68.75156357500424	13459095.0	25.0	126.0
Sample_PRO1747_PlateG_B4_R1	34.0	1.3695318748902712	35.135599769081935	14922149.0	16.666666666666664	124.87944343673287
Sample_PRO1747_PlateG_B4_R2	34.0	1.686427007220279	64.83788761320376	14922149.0	25.0	126.0
Sample_PRO1747_PlateG_B5_R1	35.0	1.0490318614322522	19.21244793060481	10427781.0	16.666666666666664	124.98862663111164
Sample_PRO1747_PlateG_B5_R2	34.0	1.233465712164488	46.400631075156475	10427781.0	16.666666666666664	126.0
Sample_PRO1747_PlateG_B6_R1	34.0	1.21738023643858	19.209568619806703	9666986.0	16.666666666666664	124.97813527401405
Sample_PRO1747_PlateG_B6_R2	34.0	1.4867164864330475	44.43167143799847	9666986.0	16.666666666666664	126.0
Sample_PRO1747_PlateG_B7_R1	30.0	1.295101397165228	40.951628464108595	10907814.0	16.666666666666664	124.87302478755139
Sample_PRO1747_PlateG_B7_R2	30.0	1.4524043359381036	68.75282704801384	10907814.0	25.0	126.0
Sample_PRO1747_PlateG_B8_R1	36.0	1.6567599629683671	6.959671170654644	968582.0	16.666666666666664	125.23637647612696
Sample_PRO1747_PlateG_B8_R2	35.0	1.756728613876486	23.972441753942846	968582.0	8.333333333333332	126.0
Sample_PRO1747_PlateG_B9_R1	34.0	0.9304687543339056	26.203238278990895	16340364.0	16.666666666666664	124.85862016292906
Sample_PRO1747_PlateG_B9_R2	34.0	1.3436225622655495	55.069340151296444	16340364.0	25.0	126.0
Sample_PRO1747_PlateG_C10_R1	35.0	1.3940108636694455	29.10427518087873	14319533.0	16.666666666666664	124.87021217800888
Sample_PRO1747_PlateG_C10_R2	35.0	1.839817747714325	56.560731767027086	14319533.0	25.0	126.0
